,date,brand,model,fuel,transmission_type,color,year,km*1000,price(Thousand)
122,22-10-22,Volkswagen,Passat,Benzene,automatic,Mocha,2012,145,387
123,22-10-22,Opel,Cascada,Benzene,automatic,White,2017,40,640
124,22-10-22,Skoda,Octavia A7,Benzene,automatic,Silver,2020,65,790
125,22-10-22,Hyundai,Elantra AD,Benzene,automatic,Black,2019,30,465
126,22-10-22,Kia,Cerato,Benzene,automatic,Silver,2016,192,345
127,22-10-22,Suzuki,Ciaz,Benzene,automatic,Dark red,2021,39,430
128,22-10-22,Nissan,Qashqai,Benzene,automatic,White,2018,91,525
129,22-10-22,Nissan,Juke,Benzene,automatic,Silver,2021,12,630
130,22-10-22,Kia,Cerato,Benzene,automatic,Silver,2016,182,395
131,22-10-22,Kia,Sportage,Benzene,automatic,Brown,2017,41.2,775
132,22-10-22,Chevrolet,Optra,Benzene,automatic,Petroleum,2020,100,285
133,22-10-22,Kia,Sportage,Benzene,automatic,Mocha,2017,89,690
134,22-10-22,Chevrolet,Pickup,diesel,manual,White,2020,138,320
135,22-10-22,Chery,Arrizo 5,Benzene,manual,Black,2020,155,230
136,22-10-22,Mitsubishi,Lancer EX Shark,Benzene,automatic,Silver,2015,92,345
137,22-10-22,Opel,Corsa,Benzene,manual,Silver,2004,160,67
138,22-10-22,Nissan,Qashqai,Benzene,automatic,Blue,2021,30,660
139,15-10-22,Toyota,Corolla,Benzene,automatic,Blue,2009,43,375
140,22-10-22,Hyundai,Tucson,Benzene,automatic,Petroleum,2022,11.5,900
141,22-10-22,Hyundai,Elantra HD,Benzene,automatic,Light grey,2022,13,435
142,22-10-22,Proton,Gen 2,Benzene,automatic,Black,2015,138,200
143,22-10-22,Peugeot,301,Benzene,automatic,Bronze,2019,41,320
144,22-10-22,Hyundai,Matrix,Benzene,manual,Petroleum,2003,215,265
145,22-10-22,Mitsubishi,Lancer EX Shark,Benzene,automatic,Silver,2017,93,410
146,22-10-22,Hyundai,Matrix,Benzene,automatic,Gold,2007,163,205
